wavelength (microns),Sapphire Window_130 Transmission
2.60803,87.311
2.60934,87.3405
2.61065,87.3405
2.61197,87.3315
2.61328,87.3135
2.6146,87.2735
2.61592,87.3515
2.61724,87.398
2.61856,87.3155
2.61989,87.3805
2.62121,87.4335
2.62254,87.3505
2.62386,87.3055
2.62519,87.3605
2.62652,87.407
2.62785,87.3195
2.62919,87.3325
2.63052,87.4415
2.63186,87.3975
2.63319,87.382
2.63453,87.4175
2.63587,87.403
2.63721,87.398
2.63855,87.402
2.6399,87.406
2.64124,87.4235
2.64259,87.409
2.64393,87.391
2.64528,87.44
2.64663,87.4585
2.64799,87.4135
2.64934,87.385
2.65069,87.41
2.65205,87.468
2.65341,87.4665
2.65476,87.452
2.65612,87.437
2.65749,87.4045
2.65885,87.45
2.66021,87.4925
2.66158,87.423
2.66295,87.359
2.66431,87.448
2.66568,87.5815
2.66706,87.5085
2.66843,87.413
2.6698,87.5555
2.67118,87.5995
2.67255,87.398
2.67393,87.278
2.67531,87.3345
2.67669,87.451
2.67808,87.4775
2.67946,87.4205
2.68085,87.355
2.68223,87.38
2.68362,87.459
2.68501,87.488
2.6864,87.4975
2.68779,87.498
2.68919,87.471
2.69058,87.415
2.69198,87.4205
2.69338,87.536
2.69478,87.6075
2.69618,87.531
2.69758,87.425
2.69899,87.4015
2.70039,87.468
2.7018,87.503
2.70321,87.465
2.70462,87.444
2.70603,87.426
2.70744,87.417
2.70886,87.476
2.71027,87.552
2.71169,87.5285
2.71311,87.46
2.71453,87.4555
2.71595,87.4725
2.71738,87.4715
2.7188,87.5385
2.72023,87.6615
2.72166,87.567
2.72309,87.487
2.72452,87.629
2.72595,87.642
2.72738,87.545
2.72882,87.528
2.73026,87.531
2.73169,87.502
2.73313,87.517
2.73458,87.5705
2.73602,87.5
2.73746,87.437
2.73891,87.575
2.74036,87.718
2.74181,87.677
2.74326,87.562
2.74471,87.527
2.74616,87.5505
2.74762,87.5535
2.74908,87.5325
2.75053,87.508
2.75199,87.466
2.75346,87.482
2.75492,87.644
2.75638,87.6755
2.75785,87.5045
2.75932,87.3985
2.76079,87.4295
2.76226,87.5275
2.76373,87.55
2.7652,87.506
2.76668,87.529
2.76816,87.564
2.76963,87.5845
2.77111,87.6265
2.7726,87.593
2.77408,87.5075
2.77557,87.4895
2.77705,87.5075
2.77854,87.5035
2.78003,87.5245
2.78152,87.564
2.78301,87.535
2.78451,87.491
2.78601,87.551
2.7875,87.6155
2.789,87.552
2.7905,87.4895
2.79201,87.516
2.79351,87.568
2.79502,87.599
2.79652,87.61
2.79803,87.591
2.79954,87.551
2.80106,87.5705
2.80257,87.6735
2.80409,87.706
2.8056,87.6275
2.80712,87.5815
2.80864,87.5945
2.81017,87.6065
2.81169,87.606
2.81322,87.6185
2.81474,87.6245
2.81627,87.592
2.8178,87.5725
2.81933,87.588
2.82087,87.5845
2.8224,87.5615
2.82394,87.561
2.82548,87.5845
2.82702,87.6095
2.82856,87.6155
2.83011,87.612
2.83165,87.6245
2.8332,87.644
2.83475,87.6435
2.8363,87.625
2.83785,87.616
2.83941,87.6165
2.84096,87.627
2.84252,87.6365
2.84408,87.6245
2.84564,87.61
2.8472,87.625
2.84877,87.6605
2.85033,87.658
2.8519,87.6295
2.85347,87.6255
2.85504,87.619
2.85661,87.5925
2.85819,87.586
2.85977,87.601
2.86134,87.6125
2.86292,87.6215
2.86451,87.635
2.86609,87.644
2.86767,87.636
2.86926,87.6315
2.87085,87.6505
2.87244,87.65
2.87403,87.6255
2.87563,87.6325
2.87722,87.6635
2.87882,87.668
2.88042,87.638
2.88202,87.6005
2.88362,87.5895
2.88523,87.6085
2.88684,87.6405
2.88844,87.659
2.89005,87.6595
2.89167,87.6735
2.89328,87.699
2.89489,87.713
2.89651,87.71
2.89813,87.699
2.89975,87.706
2.90137,87.712
2.903,87.7015
2.90463,87.7055
2.90625,87.6955
2.90788,87.6575
2.90952,87.619
2.91115,87.6055
2.91278,87.618
2.91442,87.6315
2.91606,87.6425
2.9177,87.6665
2.91934,87.694
2.92099,87.71
2.92264,87.719
2.92428,87.7175
2.92593,87.7105
2.92759,87.6975
2.92924,87.6725
2.9309,87.658
2.93255,87.661
2.93421,87.6735
2.93588,87.6825
2.93754,87.668
2.9392,87.6305
2.94087,87.6095
2.94254,87.6315
2.94421,87.651
2.94588,87.646
2.94756,87.6345
2.94924,87.6375
2.95091,87.672
2.95259,87.714
2.95428,87.7335
2.95596,87.7225
2.95765,87.7025
2.95934,87.6925
2.96103,87.6935
2.96272,87.699
2.96441,87.6885
2.96611,87.65
2.96781,87.6135
2.96951,87.614
2.97121,87.6465
2.97291,87.678
2.97462,87.6905
2.97632,87.6955
2.97803,87.715
2.97974,87.7325
2.98146,87.7165
2.98317,87.682
2.98489,87.6695
2.98661,87.6915
2.98833,87.711
2.99006,87.703
2.99178,87.6855
2.99351,87.669
2.99524,87.6625
2.99697,87.6855
2.9987,87.726
3.00044,87.753
3.00217,87.7575
3.00391,87.7405
3.00566,87.711
3.0074,87.7
3.00914,87.721
3.01089,87.751
3.01264,87.768
3.01439,87.7695
3.01615,87.765
3.0179,87.751
3.01966,87.721
3.02142,87.679
3.02318,87.6425
3.02495,87.635
3.02671,87.667
3.02848,87.712
3.03025,87.735
3.03202,87.7205
3.0338,87.691
3.03557,87.675
3.03735,87.6875
